fold,model,subset,n_features,X_train_shape,X_val_shape,predictions_identical_to_set_a,selected_columns
1,Logistic Regression,Set A (All 48),48,"(81, 48)","(21, 48)",True,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
1,Logistic Regression,Set B (Fold Top 20),20,"(81, 20)","(21, 20)",False,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3, multi_axis_energy_asymmetry, coherence_at_dominant_resonant, spectral_flatness, cross_axis_peak_delay, spectral_entropy, katz_fractal_dimension, skewness_1st_derivative, skewness, kurtosis, coherence_at_tpf, kurtosis_1st_derivative, d1_wavelet_kurtosis, higuchi_fractal_dimension, d3_energy"
1,Logistic Regression,Set C (Fold Pruned 12),12,"(81, 12)","(21, 12)",False,"ar_coeff_2, impulse_factor, d2_energy, multi_axis_energy_asymmetry, coherence_at_dominant_resonant, spectral_flatness, cross_axis_peak_delay, katz_fractal_dimension, skewness_1st_derivative, coherence_at_tpf, kurtosis_1st_derivative, d1_wavelet_kurtosis"
1,Logistic Regression,Set E_nested (Fold Top 7),7,"(81, 7)","(21, 7)",False,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3, multi_axis_energy_asymmetry"
1,Logistic Regression,Set E_fixed (7 Fixed High-Stab),7,"(81, 7)","(21, 7)",False,"kurtosis_1st_derivative, ar_coeff_2, d2_energy, skewness_1st_derivative, multi_axis_energy_asymmetry, d3_d4_subband_energy_ratio, coherence_at_dominant_resonant"
1,Logistic Regression,Set D (Fold Top 6),6,"(81, 6)","(21, 6)",False,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3"
1,Random Forest,Set A (All 48),48,"(81, 48)","(21, 48)",True,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
1,Random Forest,Set B (Fold Top 20),20,"(81, 20)","(21, 20)",True,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3, multi_axis_energy_asymmetry, coherence_at_dominant_resonant, spectral_flatness, cross_axis_peak_delay, spectral_entropy, katz_fractal_dimension, skewness_1st_derivative, skewness, kurtosis, coherence_at_tpf, kurtosis_1st_derivative, d1_wavelet_kurtosis, higuchi_fractal_dimension, d3_energy"
1,Random Forest,Set C (Fold Pruned 12),12,"(81, 12)","(21, 12)",True,"ar_coeff_2, impulse_factor, d2_energy, multi_axis_energy_asymmetry, coherence_at_dominant_resonant, spectral_flatness, cross_axis_peak_delay, katz_fractal_dimension, skewness_1st_derivative, coherence_at_tpf, kurtosis_1st_derivative, d1_wavelet_kurtosis"
1,Random Forest,Set E_nested (Fold Top 7),7,"(81, 7)","(21, 7)",True,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3, multi_axis_energy_asymmetry"
1,Random Forest,Set E_fixed (7 Fixed High-Stab),7,"(81, 7)","(21, 7)",True,"kurtosis_1st_derivative, ar_coeff_2, d2_energy, skewness_1st_derivative, multi_axis_energy_asymmetry, d3_d4_subband_energy_ratio, coherence_at_dominant_resonant"
1,Random Forest,Set D (Fold Top 6),6,"(81, 6)","(21, 6)",True,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3"
1,XGBoost,Set A (All 48),48,"(81, 48)","(21, 48)",True,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
1,XGBoost,Set B (Fold Top 20),20,"(81, 20)","(21, 20)",True,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3, multi_axis_energy_asymmetry, coherence_at_dominant_resonant, spectral_flatness, cross_axis_peak_delay, spectral_entropy, katz_fractal_dimension, skewness_1st_derivative, skewness, kurtosis, coherence_at_tpf, kurtosis_1st_derivative, d1_wavelet_kurtosis, higuchi_fractal_dimension, d3_energy"
1,XGBoost,Set C (Fold Pruned 12),12,"(81, 12)","(21, 12)",True,"ar_coeff_2, impulse_factor, d2_energy, multi_axis_energy_asymmetry, coherence_at_dominant_resonant, spectral_flatness, cross_axis_peak_delay, katz_fractal_dimension, skewness_1st_derivative, coherence_at_tpf, kurtosis_1st_derivative, d1_wavelet_kurtosis"
1,XGBoost,Set E_nested (Fold Top 7),7,"(81, 7)","(21, 7)",True,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3, multi_axis_energy_asymmetry"
1,XGBoost,Set E_fixed (7 Fixed High-Stab),7,"(81, 7)","(21, 7)",True,"kurtosis_1st_derivative, ar_coeff_2, d2_energy, skewness_1st_derivative, multi_axis_energy_asymmetry, d3_d4_subband_energy_ratio, coherence_at_dominant_resonant"
1,XGBoost,Set D (Fold Top 6),6,"(81, 6)","(21, 6)",True,"ar_coeff_2, impulse_factor, d2_energy, crest_factor, ar_coeff_1, ar_coeff_3"
